a,video_id,author,likes,published,updated,text,teks_new,teks_new_lower,"sentimen (1 negatif, 2 netral, 3 positif)"
Ugx14F56G1c0omx6z214AaABAg,GX-aKctcuX4,@deyufainchannel4127,0,2025-04-08T09:55:26Z,2025-04-08T09:55:26Z,Prediksi saya....semua serba d efisiensi..yg korupsi di pusat semakin gampang...wkwk,Prediksi saya....semua serba d efisiensi..yg korupsi di pusat semakin gampang...wkwk,prediksi saya....semua serba di efisiensi..yg korupsi di pusat semakin gampang...wkwk,1
UgxgYTCRMnd9D-a8b3V4AaABAg,GX-aKctcuX4,@AzwirAzo,0,2025-03-19T12:04:33Z,2025-03-19T12:04:33Z,Pemangkasan anggaran daerah akan berpotensi penghasilan pegawai dikurangi dan semangat kerja otomatis menurun sehingga akan terjadi berbagai macam korup.,Pemangkasan anggaran daerah akan berpotensi penghasilan pegawai dikurangi dan semangat kerja otomatis menurun sehingga akan terjadi berbagai macam korup.,pemangkasan anggaran daerah akan berpotensi penghasilan pegawai dikurangi dan semangat kerja otomatis menurun sehingga akan terjadi berbagai macam korup.,1
Ugzbm7S0Cx5BLOml2ix4AaABAg,GX-aKctcuX4,@Sukakomenajalagi,0,2025-02-16T16:05:36Z,2025-02-16T16:05:36Z,Mantap 😂😂😂😂😂,Mantap ,mantap ,2
UgxZLA53CLr3P5w39vl4AaABAg,GX-aKctcuX4,@Clupbrut,0,2025-02-15T12:00:56Z,2025-02-15T12:00:56Z,Yang untuk kepentingan umum malah dipangkas yang dipotong itu seharusnya tunjangan DPR,Yang untuk kepentingan umum malah dipangkas yang dipotong itu seharusnya tunjangan DPR,yang untuk kepentingan umum malah dipangkas yang dipotong itu seharusnya tunjangan dpr,1
Ugw_YM0UXywfIX5_n9V4AaABAg,GX-aKctcuX4,@rakawindhu3690,0,2025-02-15T07:12:23Z,2025-02-15T07:12:23Z,Tunjangan pejabat yg harus dipangkas,Tunjangan pejabat yg harus dipangkas,tunjangan pejabat yg harus dipangkas,1
UgxpB1CIDQwg305FrAp4AaABAg,GX-aKctcuX4,@muhamadahyar8073,0,2025-02-15T03:29:35Z,2025-02-15T03:29:35Z,dana desa cm hy tuk kades hidup berfoya-foya😅,dana desa cuma hanya untuk kades hidup berfoya-foya,dana desa cuma hanya untuk kades hidup berfoya-foya,3
UgwvBfrWE-HyNEqYrjZ4AaABAg,GX-aKctcuX4,@uudbudiawan366,0,2025-02-15T03:04:43Z,2025-02-15T03:04:43Z,"Ingat : kalo ada orang , pejabat yg tidak setuju dng Pemangkasan Anggaran , itu adalah KOROPTOR. ( Ini nyata dan nyata )","Ingat : kalo ada orang , pejabat yg tidak setuju dng Pemangkasan Anggaran , itu adalah KOROPTOR. ( Ini nyata dan nyata )","ingat : kalo ada orang , pejabat yg tidak setuju dng pemangkasan anggaran , itu adalah koruptor. ( ini nyata dan nyata )",3
Ugw4CH-2U_JUaC0u9L94AaABAg,GX-aKctcuX4,@uudbudiawan366,0,2025-02-15T03:03:25Z,2025-02-15T03:03:25Z,"Rakyat harus dukung Program "" Pemangkasan Anggaran "" 
Agar tidak banyak uang rakyat yg diselewengkan / Koropsi 
Ini bukti nyata","Rakyat harus dukung Program "" Pemangkasan Anggaran "" 
Agar tidak banyak uang rakyat yg diselewengkan / Koropsi 
Ini bukti nyata","rakyat harus dukung program "" pemangkasan anggaran "" 
agar tidak banyak uang rakyat yg diselewengkan / koropsi 
ini bukti nyata",3
UgzYsEyVw9n96VfpNCd4AaABAg,GX-aKctcuX4,@uudbudiawan366,0,2025-02-15T03:02:11Z,2025-02-15T03:02:11Z,"Betul...betul , Prabowo harus tegas mengawasi Anggaran Daerah ...sebab banyak "" Kegiatan Abal Abal "" yg tidak digunakan untuk Rakyat 
Contoh : 
1. Kegiatan Study Banding 
2. Kegiatan Bintek 
3. Seminar 
4. HUT ( hari jadi ) 
5. Pembelian mobil Dinas untuk Pejabat ( pakai motor aja ato naik kendaraan umum ) 
6. Rapat rapat ( pakai Zoom aja )","Betul...betul , Prabowo harus tegas mengawasi Anggaran Daerah ...sebab banyak "" Kegiatan Abal Abal "" yg tidak digunakan untuk Rakyat 
Contoh : 
1. Kegiatan Study Banding 
2. Kegiatan Bintek 
3. Seminar 
4. HUT ( hari jadi ) 
5. Pembelian mobil Dinas untuk Pejabat ( pakai motor aja ato naik kendaraan umum ) 
6. Rapat rapat ( pakai Zoom aja )","betul...betul , prabowo harus tegas mengawasi anggaran daerah ...sebab banyak "" kegiatan abal abal "" yang tidak digunakan untuk rakyat 
contoh : 
1. kegiatan study banding 
2. kegiatan bintek 
3. seminar 
4. hut ( hari jadi ) 
5. pembelian mobil dinas untuk pejabat ( pakai motor aja atau naik kendaraan umum ) 
6. rapat rapat ( pakai zoom aja )",3
UgxLGk0xhF7_pS7F4J94AaABAg,GX-aKctcuX4,@loprismanurung3727,1,2025-02-15T02:45:41Z,2025-02-15T02:45:41Z,"Sebaiknya tunjangan yang ada pada guru yaitu tunjangan profesi, tunjangan tambahan penghasilan dan tunjangan khusus dapat diberikan juga kepada ASN non guru agar tidak menimbulkan kecemburuan sosial. Karena ASN non guru hanya mendapatkan tunjangan tambahan penghasilan saja. Sedangkan tunjangan profesi dan tunjangan khusus tidak diberikan kepada ASN non guru.","Sebaiknya tunjangan yang ada pada guru yaitu tunjangan profesi, tunjangan tambahan penghasilan dan tunjangan khusus dapat diberikan juga kepada ASN non guru agar tidak menimbulkan kecemburuan sosial. Karena ASN non guru hanya mendapatkan tunjangan tambahan penghasilan saja. Sedangkan tunjangan profesi dan tunjangan khusus tidak diberikan kepada ASN non guru.","sebaiknya tunjangan yang ada pada guru yaitu tunjangan profesi, tunjangan tambahan penghasilan dan tunjangan khusus dapat diberikan juga kepada asn non guru agar tidak menimbulkan kecemburuan sosial. karena asn non guru hanya mendapatkan tunjangan tambahan penghasilan saja. sedangkan tunjangan profesi dan tunjangan khusus tidak diberikan kepada asn non guru.",2
UgyW157DQXNvR2qUoHF4AaABAg,GX-aKctcuX4,@atysetya9466,0,2025-02-14T10:40:19Z,2025-02-14T10:40:19Z,"DPA sudah ditetapkan , berarti ada perubahan . termaduk u belanja modal.","DPA sudah ditetapkan , berarti ada perubahan . termasuk untuk belanja modal.","dpa sudah ditetapkan , berarti ada perubahan . termasuk u belanja modal.",2
Ugz5Isqt--33HE2XLwh4AaABAg,GX-aKctcuX4,@jafarfathoni1433,0,2025-02-13T05:00:24Z,2025-02-13T05:00:24Z,Apakah ini akan mempengaruhi guru ASN PPPK yg pengelolaannya masuk pemda? Seperti guru SMP dan SD yg pengelolaanya masih ditingkat kota/kabupaten.,Apakah ini akan mempengaruhi guru ASN PPPK yg pengelolaannya masuk pemda? Seperti guru SMP dan SD yg pengelolaanya masih ditingkat kota/kabupaten.,apakah ini akan mempengaruhi guru asn pppk yg pengelolaannya masuk pemda? seperti guru smp dan sd yg pengelolaanya masih ditingkat kota/kabupaten.,2
Ugyo9vBNTukh00BDcml4AaABAg,GX-aKctcuX4,@ChikaOppicial,0,2025-02-13T01:11:07Z,2025-02-13T01:11:07Z,"Alhamdulillah, akhirnya terpotong 50%kalo bisa dana desa di stop total pak Prabowo, kasian masyarakat kecil cuma di jual namanya, manfaatnya gk dapet, kalo anggota DPR meminta Anggara anggaran mengatas namakan rakyat miskin, tolong di selidiki dulu, uang negara yg di tujukan ke masyarakat itu gk pernah nyampe pak,","Alhamdulillah, akhirnya terpotong 50%kalo bisa dana desa di stop total pak Prabowo, kasian masyarakat kecil cuma di jual namanya, manfaatnya gak dapet, kalo anggota DPR meminta Anggara anggaran mengatas namakan rakyat miskin, tolong di selidiki dulu, uang negara yg di tujukan ke masyarakat itu gak pernah nyampe pak,","alhamdulillah, akhirnya terpotong 50%kalo bisa dana desa di stop total pak prabowo, kasian masyarakat kecil cuma di jual namanya, manfaatnya gak dapet, kalo anggota dpr meminta anggara anggaran mengatas namakan rakyat miskin, tolong di selidiki dulu, uang negara yang di tujukan ke masyarakat itu gak pernah nyampe pak,",3
Ugx7zjFSQZbfSn6vjIZ4AaABAg,GX-aKctcuX4,@ArifIrfandyHoK,0,2025-02-12T19:59:34Z,2025-02-12T19:59:34Z,Aturan goblok semua di kurangi hanya utk mbg pdhl programmya kurang efisien hny karna janji doang dana banyak aj di korupsi ap lagi dana semakin kecilnklo di korupsi lg ap ad peogram lain yg berjalan?,Aturan goblok semua di kurangi hanya utk mbg pdhl programmya kurang efisien hny karna janji doang dana banyak aj di korupsi ap lagi dana semakin kecilnklo di korupsi lg ap ad peogram lain yg berjalan?,aturan goblok semua di kurangi hanya utk mbg pdhl programmya kurang efisien hny karna janji doang dana banyak aja di korupsi ap lagi dana semakin kecilnklo di korupsi lg ap ad peogram lain yg berjalan?,1
UgwvPXfVg-gkNcJZ4Gd4AaABAg,GX-aKctcuX4,@RianNew-zs5df,0,2025-02-12T13:46:00Z,2025-02-12T13:46:00Z,Yg komen juga tidak paham dana desa itu jangan di samakan semua kades korupsi ada juga yg betul2  pakai keperluan bersama masyarakatnya.yg korupsi saja di cari baru di miskinkan.,Yg komen juga tidak paham dana desa itu jangan di samakan semua kades korupsi ada juga yg betul2  pakai keperluan bersama masyarakatnya.yg korupsi saja di cari baru di miskinkan.,yg komen juga tidak paham dana desa itu jangan di samakan semua kades korupsi ada juga yg betul2  pakai keperluan bersama masyarakatnya.yg korupsi saja di cari baru di miskinkan.,1
UgyEWZQoOYwgyldUAMB4AaABAg,GX-aKctcuX4,@Nano_Suratno12,0,2025-02-11T15:08:48Z,2025-02-11T15:08:48Z,NEGARA INDONESIA DI AMBANG KEBANGKRUTAN 🇮🇩,NEGARA INDONESIA DI AMBANG KEBANGKRUTAN ,negara indonesia di ambang kebangkrutan ,2
UgxWh5CYY0_r-0uHRHJ4AaABAg,GX-aKctcuX4,@hendrikhidayatgaho,0,2025-02-11T12:44:02Z,2025-02-11T12:44:02Z,"anggaran di potong untuk memenuhi program makan geratis, eh malah anggaran makan geratis yang di korupsi 😂","anggaran di potong untuk memenuhi program makan geratis, eh malah anggaran makan geratis yang di korupsi ","anggaran di potong untuk memenuhi program makan geratis, eh malah anggaran makan geratis yang di korupsi ",1
